v,R,c,k,max_tilt,final_tilt,max_omega
5.0,105.71428571428572,120.0,1500.0,0.1366642401007381,0.07408955982232034,0.1670639631042934
5.0,105.71428571428572,120.0,2000.0,0.10433942887177869,0.06439968274989974,0.1473648701318719
5.0,105.71428571428572,120.0,2500.0,0.08451520557965458,0.043023149445870296,0.13348771778327334
5.0,105.71428571428572,120.0,3000.0,0.0710842623605155,0.04297259618921728,0.12301533283724261
5.0,105.71428571428572,120.0,3500.0,0.06138475797489187,0.030980817363228375,0.11475370790340762
5.0,120.0,30.0,1500.0,0.13373930699004616,0.03941104880250049,0.16378906381405134
5.0,120.0,30.0,2000.0,0.10078854963752097,0.08063269956960292,0.14257438684326115
5.0,120.0,30.0,2500.0,0.0809032831821032,0.019248634629982077,0.1279185087601329
5.0,120.0,30.0,3000.0,0.06759964287757145,0.053706286966437804,0.11708105427690338
5.0,120.0,30.0,3500.0,0.05806117123807582,0.01413257684543855,0.10862730389380795
5.0,120.0,52.5,1500.0,0.1301234386878813,0.050806253185888425,0.15935960360256
5.0,120.0,52.5,2000.0,0.09840596617783617,0.07026619312050654,0.13920278306687975
5.0,120.0,52.5,2500.0,0.07918467043051697,0.02731431148501881,0.12522020559949376
5.0,120.0,52.5,3000.0,0.06628165286599617,0.04683530140099693,0.11481200689685897
5.0,120.0,52.5,3500.0,0.057010177532501705,0.01986744775785148,0.10661569555213395
5.0,120.0,75.0,1500.0,0.12670339867568153,0.05798305323233527,0.15509738898848385
5.0,120.0,75.0,2000.0,0.09613509515478696,0.06365157267974325,0.13594309333080962
5.0,120.0,75.0,2500.0,0.07753950323880598,0.03247496559550271,0.12260245470422784
5.0,120.0,75.0,3000.0,0.06501436294500561,0.04244989953785225,0.1126052518691066
5.0,120.0,75.0,3500.0,0.055997028302743286,0.023510065373855124,0.10468982462789077
5.0,120.0,97.5,1500.0,0.12346469563353828,0.0624750028222579,0.15100873263192396
5.0,120.0,97.5,2000.0,0.0939764147863302,0.05942835308547957,0.13279060193522368
5.0,120.0,97.5,2500.0,0.07596381384767278,0.03578264384108301,0.1200621131487445
5.0,120.0,97.5,3000.0,0.06379524040855034,0.03964760051878301,0.11045876893234632
5.0,120.0,97.5,3500.0,0.05501991525085301,0.025824556402885588,0.10286853877180269
5.0,120.0,120.0,1500.0,0.12039432582264564,0.06526927175327729,0.14717589306499798
